name,actor_credits,total_wins,total_nominations
Akemi Yamaguchi,0,0,0
Melissa Benoist,35,4,9
Jack Nicholson,79,90,105
Shima Iwashita,133,13,6
Miles Teller,40,5,29
Akira Ishihama,93,0,0
Ayano Shiraishi,0,0,0
Tatsuya Nakadai,184,7,3
Tsutomu Tatsumi,0,0,0
J.K. Simmons,242,65,58
Beverly D'Angelo,138,1,5
Edward Norton,55,48,115
Edward Furlong,74,4,6
Scarlett Johansson,83,71,242
Shameik Moore,20,6,16
Jean Reno,122,3,5
Hugh Jackman,71,36,110
Gary Oldman,106,68,118
Natalie Portman,83,96,183
Hailee Steinfeld,64,30,68
Humphrey Bogart,85,22,8
Brian Tyree Henry,51,10,77
Paul Henreid,58,0,0
Kevin Spacey,93,61,95
Ingrid Bergman,54,50,21
Chazz Palminteri,81,17,6
Omar Sy,88,13,14
Gabriel Byrne,118,12,20
François Cluzet,115,7,16
Anne Le Ny,80,1,4
Enzo Cannavale,121,1,2
Henry Bergman,60,0,0
Philippe Noiret,154,14,7
Antonella Attili,80,0,0
Charles Chaplin,93,31,6
Paulette Goddard,65,8,2
John Hurt,213,22,19
Tom Skerritt,173,7,12
Sigourney Weaver,105,38,67
Grace Kelly,31,10,5
Wendell Corey,79,0,0
Claudia Cardinale,129,43,4
Charles Bronson,162,4,4
Christoph Waltz,130,88,44
Jamie Foxx,89,61,104
Leonardo DiCaprio,51,110,286
Timothée Chalamet,37,55,156
Zendaya,54,32,74
Rebecca Ferguson,39,11,29
Virginia Cherrill,15,0,0
Florence Lee,35,0,0
Carrie-Anne Moss,83,5,9
Marlon Brando,46,36,39
Guy Pearce,102,24,85
Martin Sheen,266,31,64
Jeff Garlin,98,3,26
Elissa Knight,12,0,0
Joe Pantoliano,164,7,10
Ben Burtt,11,20,49
Harrison Ford,86,48,61
Karen Allen,72,15,6
Paul Freeman,137,1,1
Ulrich Mühe,72,17,9
Sebastian Koch,107,9,15
Martina Gedeck,146,21,21
Chris Hemsworth,55,21,59
William Holden,75,19,19
Robert Downey Jr.,96,81,160
Mark Ruffalo,83,42,173
Gloria Swanson,84,25,7
Erich von Stroheim,77,5,2
Jake Johnson,82,2,10
Hailee Steinfeld,64,30,68
Ralph Meeker,113,0,0
Adolphe Menjou,151,17,2
Marlene Dietrich,56,10,3
Tyrone Power,51,20,1
Kirk Douglas,95,39,26
Charles Laughton,63,24,5
Shelley Duvall,57,13,16
Danny Lloyd,3,0,0
Vikrant Massey,52,28,37
Medha Shankr,7,3,2
Carrie Henn,2,1,2
Anant Joshi,0,0,0
Jack Oakie,103,14,1
Michael Biehn,113,3,3
Eli Roth,35,18,15
Diane Kruger,64,22,20
Tom Hardy,64,23,92
Anne Hathaway,66,69,127
Anthony Gonzalez,21,9,5
Gael García Bernal,81,40,57
Benjamin Bratt,72,14,20
Tom Hulce,31,4,11
Tim Allen,56,25,38
Elizabeth Berridge,29,0,0
Don Rickles,82,3,3
Chris Evans,63,8,62
F. Murray Abraham,135,14,19
