rank,title,year,rating,duration,imdb_rating,genre,movie_url,popularity_score,oscar_wins,oscar_nominations,star_1,star_1_link,star_2,star_2_link,star_3,star_3_link
1,The Shawshank Redemption,,R,,9.3,Drama,https://www.imdb.com/title/tt0111161/,53.0,0,7,Tim Robbins,https://www.imdb.com/name/nm0000209/?ref_=tt_cst_t_1,Morgan Freeman,https://www.imdb.com/name/nm0000151/?ref_=tt_cst_t_2,Bob Gunton,https://www.imdb.com/name/nm0348409/?ref_=tt_cst_t_3
2,The Godfather,,R,,9.2,"Crime, Drama",https://www.imdb.com/title/tt0068646/,74.0,3,0,Marlon Brando,https://www.imdb.com/name/nm0000008/?ref_=tt_cst_t_1,Al Pacino,https://www.imdb.com/name/nm0000199/?ref_=tt_cst_t_2,James Caan,https://www.imdb.com/name/nm0001001/?ref_=tt_cst_t_3
3,The Dark Knight,,PG-13,,9.0,"Action, Crime, Drama",https://www.imdb.com/title/tt0468569/,116.0,2,0,Christian Bale,https://www.imdb.com/name/nm0000288/?ref_=tt_cst_t_1,Heath Ledger,https://www.imdb.com/name/nm0005132/?ref_=tt_cst_t_2,Aaron Eckhart,https://www.imdb.com/name/nm0001173/?ref_=tt_cst_t_3
4,The Godfather Part II,,R,,9.0,"Crime, Drama",https://www.imdb.com/title/tt0071562/,324.0,6,0,Al Pacino,https://www.imdb.com/name/nm0000199/?ref_=tt_cst_t_1,Robert De Niro,https://www.imdb.com/name/nm0000134/?ref_=tt_cst_t_2,Robert Duvall,https://www.imdb.com/name/nm0000380/?ref_=tt_cst_t_3
5,12 Angry Men,,Approved,,9.0,"Crime, Drama",https://www.imdb.com/title/tt0050083/,240.0,0,3,Henry Fonda,https://www.imdb.com/name/nm0000020/?ref_=tt_cst_t_1,Lee J. Cobb,https://www.imdb.com/name/nm0002011/?ref_=tt_cst_t_2,Martin Balsam,https://www.imdb.com/name/nm0000842/?ref_=tt_cst_t_3
6,The Lord of the Rings: The Return of the King,,PG-13,,9.0,"Adventure, Drama, Fantasy",https://www.imdb.com/title/tt0167260/,243.0,11,0,Elijah Wood,https://www.imdb.com/name/nm0000704/?ref_=tt_cst_t_1,Viggo Mortensen,https://www.imdb.com/name/nm0001557/?ref_=tt_cst_t_2,Ian McKellen,https://www.imdb.com/name/nm0005212/?ref_=tt_cst_t_3
7,Schindler&apos;s List,,R,,9.0,"Biography, Drama, History",https://www.imdb.com/title/tt0108052/,140.0,7,0,Liam Neeson,https://www.imdb.com/name/nm0000553/?ref_=tt_cst_t_1,Ralph Fiennes,https://www.imdb.com/name/nm0000146/?ref_=tt_cst_t_2,Ben Kingsley,https://www.imdb.com/name/nm0001426/?ref_=tt_cst_t_3
8,Pulp Fiction,,R,,8.9,"Crime, Drama",https://www.imdb.com/title/tt0110912/,82.0,1,0,John Travolta,https://www.imdb.com/name/nm0000237/?ref_=tt_cst_t_1,Uma Thurman,https://www.imdb.com/name/nm0000235/?ref_=tt_cst_t_2,Samuel L. Jackson,https://www.imdb.com/name/nm0000168/?ref_=tt_cst_t_3
9,The Lord of the Rings: The Fellowship of the Ring,,PG-13,,8.9,"Adventure, Drama, Fantasy",https://www.imdb.com/title/tt0120737/,123.0,4,0,Elijah Wood,https://www.imdb.com/name/nm0000704/?ref_=tt_cst_t_1,Ian McKellen,https://www.imdb.com/name/nm0005212/?ref_=tt_cst_t_2,Orlando Bloom,https://www.imdb.com/name/nm0089217/?ref_=tt_cst_t_3
10,"Il buono, il brutto, il cattivo",,R,,8.8,"Adventure, Drama, Western",https://www.imdb.com/title/tt0060196/,401.0,0,0,Clint Eastwood,https://www.imdb.com/name/nm0000142/?ref_=tt_cst_t_1,Eli Wallach,https://www.imdb.com/name/nm0908919/?ref_=tt_cst_t_2,Lee Van Cleef,https://www.imdb.com/name/nm0001812/?ref_=tt_cst_t_3
