name,actor_credits,total_wins,total_nominations
Aaron Eckhart,61,8,21
James Caan,137,7,23
Heath Ledger,23,84,67
Bob Gunton,144,2,1
Christian Bale,57,84,133
Morgan Freeman,152,66,88
Al Pacino,71,52,128
Tim Robbins,78,37,42
Al Pacino,71,52,128
Marlon Brando,46,33,37
Martin Balsam,180,3,4
Ian McKellen,139,53,66
Lee J. Cobb,101,5,10
Robert De Niro,126,68,175
Elijah Wood,128,30,52
Henry Fonda,127,37,20
Robert Duvall,147,61,66
Viggo Mortensen,66,45,129
Ralph Fiennes,99,52,173
Liam Neeson,200,24,52
John Travolta,97,52,65
Uma Thurman,76,30,65
Ian McKellen,139,53,66
Orlando Bloom,54,29,30
Samuel L. Jackson,212,49,99
Ben Kingsley,158,49,74
Eli Wallach,172,8,6
Clint Eastwood,73,167,185
Lee Van Cleef,173,0,0
Tom Hanks,101,97,210
Robin Wright,65,18,66
Meat Loaf,114,1,4
Edward Norton,55,48,113
Gary Sinise,56,18,18
Viggo Mortensen,66,45,129
Brad Pitt,95,122,230
Joseph Gordon-Levitt,101,26,76
Leonardo DiCaprio,50,108,286
Elliot Page,52,47,79
Mark Hamill,381,29,33
Keanu Reeves,119,16,42
Carrie-Anne Moss,82,5,9
Harrison Ford,85,48,61
Laurence Fishburne,142,29,80
Carrie Fisher,95,11,25
Ray Liotta,125,10,20
Robert De Niro,126,68,175
Joe Pesci,46,34,64
Jack Nicholson,79,90,105
Louise Fletcher,137,13,10
Matthew McConaughey,85,50,88
Michael Berryman,114,0,0
Anne Hathaway,68,69,124
Jessica Chastain,67,109,171
Morgan Freeman,152,66,88
James Stewart,100,52,22
Kevin Spacey,93,61,92
Donna Reed,53,8,9
Lionel Barrymore,221,25,1
Brad Pitt,95,122,230
Takashi Shimura,341,2,2
Toshirô Mifune,186,17,4
Anthony Hopkins,155,74,131
Keiko Tsushima,101,0,0
Jodie Foster,83,73,86
Scott Glenn,103,0,0
Alexandre Rodrigues,29,1,1
Matt Damon,103,40,158
Leandro Firmino,38,3,2
Tom Sizemore,260,18,12
Roberto Benigni,40,63,43
Michael Clarke Duncan,100,4,16
Nicoletta Braschi,20,3,12
David Morse,104,5,14
Matheus Nachtergaele,84,39,31
Michael J. Fox,83,37,66
Giorgio Cantarini,19,1,1
Edward Furlong,74,4,6
Arnold Schwarzenegger,90,32,37
Linda Hamilton,87,17,11
Daveigh Chase,52,3,3
Lea Thompson,114,5,6
Christopher Lloyd,258,13,17
Suzanne Pleshette,105,4,8
Miyu Irino,205,0,0
Russell Crowe,82,37,85
Adrien Brody,79,36,82
Thomas Kretschmann,148,5,6
Frank Finlay,145,3,6
Joaquin Phoenix,58,71,200
Connie Nielsen,67,5,11
Song Kang-ho,40,61,67
Anthony Perkins,68,9,7
Cho Yeo-jeong,28,14,22
Lee Sun-kyun,47,11,9
Janet Leigh,85,10,8
Jeremy Irons,116,33,39
Matthew Broderick,85,4,19
Vera Miles,163,0,0
James Earl Jones,190,31,31
