rank,title,year,rating,duration,imdb_rating,genre,url,movie_url,popularity_score,oscar_wins,oscar_nominations,star_1,star_1_link,star_2,star_2_link,star_3,star_3_link
1,The Shawshank Redemption,1994,R,2h 22m,9.3,Drama,https://www.imdb.com/title/tt0111161/,https://www.imdb.com/title/tt0111161/,54,0,7,Tim Robbins,https://www.imdb.com/name/nm0000209/?ref_=tt_cst_t_1,Morgan Freeman,https://www.imdb.com/name/nm0000151/?ref_=tt_cst_t_2,Bob Gunton,https://www.imdb.com/name/nm0348409/?ref_=tt_cst_t_3
2,The Godfather,1972,R,2h 55m,9.2,"Crime, Drama",https://www.imdb.com/title/tt0068646/,https://www.imdb.com/title/tt0068646/,79,3,0,Marlon Brando,https://www.imdb.com/name/nm0000008/?ref_=tt_cst_t_1,Al Pacino,https://www.imdb.com/name/nm0000199/?ref_=tt_cst_t_2,James Caan,https://www.imdb.com/name/nm0001001/?ref_=tt_cst_t_3
3,The Dark Knight,2008,PG-13,2h 32m,9.0,"Action, Crime, Drama",https://www.imdb.com/title/tt0468569/,https://www.imdb.com/title/tt0468569/,102,2,0,Christian Bale,https://www.imdb.com/name/nm0000288/?ref_=tt_cst_t_1,Heath Ledger,https://www.imdb.com/name/nm0005132/?ref_=tt_cst_t_2,Aaron Eckhart,https://www.imdb.com/name/nm0001173/?ref_=tt_cst_t_3
4,The Godfather Part II,1974,R,3h 22m,9.0,"Crime, Drama",https://www.imdb.com/title/tt0071562/,https://www.imdb.com/title/tt0071562/,370,6,0,Al Pacino,https://www.imdb.com/name/nm0000199/?ref_=tt_cst_t_1,Robert De Niro,https://www.imdb.com/name/nm0000134/?ref_=tt_cst_t_2,Robert Duvall,https://www.imdb.com/name/nm0000380/?ref_=tt_cst_t_3
5,12 Angry Men,1957,Approved,1h 36m,9.0,"Crime, Drama",https://www.imdb.com/title/tt0050083/,https://www.imdb.com/title/tt0050083/,261,0,3,Henry Fonda,https://www.imdb.com/name/nm0000020/?ref_=tt_cst_t_1,Lee J. Cobb,https://www.imdb.com/name/nm0002011/?ref_=tt_cst_t_2,Martin Balsam,https://www.imdb.com/name/nm0000842/?ref_=tt_cst_t_3
6,The Lord of the Rings: The Return of the King,2003,PG-13,3h 21m,9.0,"Adventure, Drama, Fantasy",https://www.imdb.com/title/tt0167260/,https://www.imdb.com/title/tt0167260/,245,11,0,Elijah Wood,https://www.imdb.com/name/nm0000704/?ref_=tt_cst_t_1,Viggo Mortensen,https://www.imdb.com/name/nm0001557/?ref_=tt_cst_t_2,Ian McKellen,https://www.imdb.com/name/nm0005212/?ref_=tt_cst_t_3
7,Schindler&apos;s List,1993,R,3h 15m,9.0,"Biography, Drama, History",https://www.imdb.com/title/tt0108052/,https://www.imdb.com/title/tt0108052/,83,7,0,Liam Neeson,https://www.imdb.com/name/nm0000553/?ref_=tt_cst_t_1,Ralph Fiennes,https://www.imdb.com/name/nm0000146/?ref_=tt_cst_t_2,Ben Kingsley,https://www.imdb.com/name/nm0001426/?ref_=tt_cst_t_3
8,Pulp Fiction,1994,R,2h 34m,8.9,"Crime, Drama",https://www.imdb.com/title/tt0110912/,https://www.imdb.com/title/tt0110912/,100,1,0,John Travolta,https://www.imdb.com/name/nm0000237/?ref_=tt_cst_t_1,Uma Thurman,https://www.imdb.com/name/nm0000235/?ref_=tt_cst_t_2,Samuel L. Jackson,https://www.imdb.com/name/nm0000168/?ref_=tt_cst_t_3
9,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58m,8.9,"Adventure, Drama, Fantasy",https://www.imdb.com/title/tt0120737/,https://www.imdb.com/title/tt0120737/,103,4,0,Elijah Wood,https://www.imdb.com/name/nm0000704/?ref_=tt_cst_t_1,Ian McKellen,https://www.imdb.com/name/nm0005212/?ref_=tt_cst_t_2,Orlando Bloom,https://www.imdb.com/name/nm0089217/?ref_=tt_cst_t_3
10,"Il buono, il brutto, il cattivo",1966,R,2h 58m,8.8,"Adventure, Drama, Western",https://www.imdb.com/title/tt0060196/,https://www.imdb.com/title/tt0060196/,319,0,0,Clint Eastwood,https://www.imdb.com/name/nm0000142/?ref_=tt_cst_t_1,Eli Wallach,https://www.imdb.com/name/nm0908919/?ref_=tt_cst_t_2,Lee Van Cleef,https://www.imdb.com/name/nm0001812/?ref_=tt_cst_t_3
